Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HC,AC,HY,AY,HR,AR
EPL_2008,23/11/08,34,39,0.0,1.0,2.0,17.0,10.0,6.0,5.0,4.0,2.0,2.0,1.0,0.0,0.0
EPL_2008,23/11/08,36,3,1.0,0.0,0.0,16.0,9.0,7.0,6.0,6.0,6.0,2.0,3.0,0.0,1.0
EPL_2008,24/11/08,40,13,1.0,0.0,0.0,12.0,7.0,6.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0
EPL_2008,29/11/08,1,14,0.0,0.0,1.0,12.0,5.0,4.0,2.0,11.0,4.0,0.0,2.0,0.0,0.0
EPL_2008,29/11/08,24,25,0.0,0.0,1.0,14.0,10.0,7.0,5.0,7.0,2.0,1.0,1.0,0.0,0.0
EPL_2008,29/11/08,33,16,1.0,1.0,1.0,10.0,6.0,5.0,5.0,5.0,3.0,2.0,3.0,0.0,0.0
EPL_2008,29/11/08,34,5,1.0,4.0,2.0,14.0,11.0,9.0,6.0,5.0,6.0,4.0,0.0,0.0,0.0
EPL_2008,29/11/08,40,38,2.0,1.0,0.0,17.0,17.0,9.0,9.0,6.0,8.0,0.0,2.0,0.0,0.0
EPL_2008,30/11/08,11,0,1.0,2.0,2.0,12.0,9.0,5.0,6.0,3.0,2.0,2.0,0.0,0.0,0.0
EPL_2008,30/11/08,22,23,0.0,1.0,2.0,10.0,12.0,1.0,8.0,3.0,8.0,2.0,5.0,0.0,1.0
EPL_2008,30/11/08,28,3,3.0,2.0,0.0,9.0,10.0,6.0,2.0,8.0,10.0,0.0,1.0,0.0,0.0
EPL_2008,30/11/08,36,13,0.0,1.0,2.0,14.0,8.0,6.0,6.0,5.0,1.0,1.0,3.0,0.0,0.0
EPL_2008,01/12/08,20,39,0.0,0.0,1.0,21.0,7.0,8.0,3.0,17.0,5.0,1.0,1.0,0.0,0.0
EPL_2008,06/12/08,0,40,1.0,0.0,0.0,11.0,10.0,4.0,4.0,8.0,3.0,1.0,2.0,0.0,0.0
EPL_2008,06/12/08,3,20,1.0,3.0,2.0,7.0,10.0,3.0,6.0,5.0,6.0,2.0,2.0,0.0,0.0
EPL_2008,06/12/08,5,11,0.0,2.0,2.0,21.0,11.0,11.0,7.0,10.0,2.0,2.0,1.0,0.0,0.0
EPL_2008,06/12/08,14,22,1.0,1.0,1.0,12.0,15.0,8.0,7.0,9.0,7.0,2.0,1.0,0.0,0.0
EPL_2008,06/12/08,16,24,2.0,1.0,0.0,17.0,9.0,7.0,7.0,8.0,6.0,1.0,1.0,0.0,1.0
EPL_2008,06/12/08,23,34,1.0,0.0,0.0,27.0,2.0,15.0,2.0,10.0,1.0,1.0,0.0,0.0,0.0
EPL_2008,06/12/08,25,33,2.0,2.0,1.0,9.0,12.0,6.0,4.0,6.0,3.0,0.0,1.0,0.0,0.0
EPL_2008,07/12/08,13,1,2.0,3.0,2.0,12.0,5.0,7.0,5.0,10.0,6.0,2.0,1.0,0.0,0.0
EPL_2008,07/12/08,38,28,1.0,1.0,1.0,14.0,6.0,8.0,3.0,3.0,5.0,1.0,2.0,0.0,0.0
EPL_2008,08/12/08,39,36,0.0,2.0,2.0,11.0,17.0,4.0,12.0,7.0,5.0,2.0,0.0,0.0,0.0
EPL_2008,13/12/08,1,5,4.0,2.0,0.0,16.0,9.0,7.0,5.0,10.0,3.0,0.0,1.0,0.0,0.0
